RB_LE4OLV,
1.15,0.322448
1.151,0.323044
1.152,0.32417
1.153,0.324619
1.154,0.3244
1.155,0.324679
1.156,0.324905
1.157,0.325406
1.158,0.326988
1.159,0.327
1.16,0.327153
1.161,0.327345
1.162,0.327746
1.163,0.328158
1.164,0.328924
1.165,0.32925
1.166,0.329666
1.167,0.329646
1.168,0.330695
1.169,0.331119
1.17,0.330985
1.171,0.331118
1.172,0.331936
1.173,0.332467
1.174,0.332122
1.175,0.332212
1.176,0.332299
1.177,0.332422
1.178,0.333082
1.179,0.332926
1.18,0.332965
1.181,0.333313
1.182,0.33312
1.183,0.333026
1.184,0.333505
1.185,0.333272
1.186,0.33436
1.187,0.335809
1.188,0.336142
1.189,0.336469
1.19,0.33692
1.191,0.337286
1.192,0.337685
1.193,0.338436
1.194,0.33983
1.195,0.339289
1.196,0.338254
1.197,0.338692
1.198,0.339368
1.199,0.339594
1.2,0.340206
1.201,0.340667
1.202,0.340743
1.203,0.341101
1.204,0.341468
1.205,0.341932
1.206,0.342555
1.207,0.342726
1.208,0.342754
1.209,0.342805
1.21,0.343546
1.211,0.343837
1.212,0.344027
1.213,0.344677
1.214,0.344895
1.215,0.344839
1.216,0.344678
1.217,0.345522
1.218,0.345632
1.219,0.34544
1.22,0.345874
1.221,0.346204
1.222,0.346215
1.223,0.346669
1.224,0.347498
1.225,0.347579
1.226,0.347818
1.227,0.347987
1.228,0.348007
1.229,0.34827
1.23,0.348749
1.231,0.349278
1.232,0.34956
1.233,0.349737
1.234,0.349862
1.235,0.350587
1.236,0.351205
1.237,0.351232
1.238,0.351815
1.239,0.352701
1.24,0.353448
1.241,0.354149
1.242,0.354519
1.243,0.353999
1.244,0.353851
1.245,0.354281
1.246,0.354043
1.247,0.355264
1.248,0.355725
1.249,0.356373
1.25,0.35571
1.251,0.355298
1.252,0.356338
1.253,0.35643
1.254,0.356956
1.255,0.357711
1.256,0.357758
1.257,0.35789
1.258,0.35837
1.259,0.358206
1.26,0.358906
1.261,0.360317
1.262,0.360762
1.263,0.362218
1.264,0.362158
1.265,0.361431
1.266,0.361723
1.267,0.362276
1.268,0.362913
1.269,0.364156
1.27,0.363428
1.271,0.363671
1.272,0.364114
1.273,0.364485
1.274,0.365308
1.275,0.3653
1.276,0.366054
1.277,0.366379
1.278,0.366852
1.279,0.36732
1.28,0.36771
1.281,0.367928
1.282,0.36832
1.283,0.369057
1.284,0.369439
1.285,0.370042
1.286,0.370641
1.287,0.371702
1.288,0.371552
1.289,0.371904
1.29,0.371639
1.291,0.371734
1.292,0.372741
1.293,0.373159
1.294,0.37466
1.295,0.374555
1.296,0.374657
1.297,0.375072
1.298,0.375593
1.299,0.377847
1.3,0.377271
1.301,0.378174
1.302,0.377884
1.303,0.378979
1.304,0.379399
1.305,0.379625
1.306,0.379889
1.307,0.380232
1.308,0.381039
1.309,0.38133
1.31,0.382701
1.311,0.382684
1.312,0.383374
1.313,0.383971
1.314,0.384192
1.315,0.385739
1.316,0.386085
1.317,0.387122
1.318,0.386936
1.319,0.387681
1.32,0.387203
1.321,0.387838
1.322,0.38861
1.323,0.388577
1.324,0.390176
1.325,0.390757
1.326,0.391286
1.327,0.391223
1.328,0.392277
1.329,0.392917
1.33,0.394215
1.331,0.394365
1.332,0.394692
1.333,0.396436
1.334,0.396428
1.335,0.395903
1.336,0.39709
1.337,0.397291
1.338,0.398218
1.339,0.399221
1.34,0.399379
1.341,0.399522
1.342,0.400289
1.343,0.401727
1.344,0.402224
1.345,0.402548
1.346,0.402716
1.347,0.403683
1.348,0.404962
1.349,0.405206
1.35,0.406101
1.351,0.406675
1.352,0.406499
1.353,0.407413
1.354,0.408805
1.355,0.409269
1.356,0.409782
1.357,0.410304
1.358,0.411336
1.359,0.412417
1.36,0.412924
1.361,0.41393
1.362,0.414711
1.363,0.416049
1.364,0.416431
1.365,0.416718
1.366,0.417515
1.367,0.418349
1.368,0.419092
1.369,0.419748
1.37,0.420793
1.371,0.421072
1.372,0.421906
1.373,0.422874
1.374,0.422958
1.375,0.42353
1.376,0.423912
1.377,0.42463
1.378,0.425644
1.379,0.426346
1.38,0.427221
1.381,0.428105
1.382,0.428983
1.383,0.429836
1.384,0.430583
1.385,0.430899
1.386,0.431812
1.387,0.432803
1.388,0.432915
1.389,0.43345
1.39,0.434142
1.391,0.435062
1.392,0.436131
1.393,0.436614
1.394,0.436903
1.395,0.437594
1.396,0.438499
1.397,0.439583
1.398,0.440651
1.399,0.44166
1.4,0.442962
1.401,0.443943
1.402,0.443497
1.403,0.444243
1.404,0.445205
1.405,0.445914
1.406,0.446711
1.407,0.44744
1.408,0.448321
1.409,0.449099
1.41,0.449662
1.411,0.450269
1.412,0.451054
1.413,0.451677
1.414,0.452377
1.415,0.453722
1.416,0.454661
1.417,0.455222
1.418,0.456258
1.419,0.456955
1.42,0.457442
1.421,0.458439
1.422,0.459295
1.423,0.45957
1.424,0.459925
1.425,0.461082
1.426,0.462031
1.427,0.462935
1.428,0.463498
1.429,0.464136
1.43,0.465603
1.431,0.466595
1.432,0.467124
1.433,0.467833
1.434,0.468685
1.435,0.469695
1.436,0.470595
1.437,0.471724
1.438,0.472052
1.439,0.473195
1.44,0.474012
1.441,0.474869
1.442,0.476072
1.443,0.477007
1.444,0.477926
1.445,0.478651
1.446,0.479844
1.447,0.480491
1.448,0.481049
1.449,0.481633
1.45,0.482807
1.451,0.48382
1.452,0.484919
1.453,0.485739
1.454,0.48686
1.455,0.488134
1.456,0.488744
1.457,0.488926
1.458,0.489404
1.459,0.490627
1.46,0.491161
1.461,0.492276
1.462,0.492926
1.463,0.493603
1.464,0.495307
1.465,0.496099
1.466,0.496902
1.467,0.497705
1.468,0.498574
1.469,0.500948
1.47,0.501651
1.471,0.50189
1.472,0.502462
1.473,0.50343
1.474,0.503809
1.475,0.504728
1.476,0.50621
1.477,0.507453
1.478,0.507906
1.479,0.508612
1.48,0.509851
1.481,0.510582
1.482,0.512127
1.483,0.512505
1.484,0.51392
1.485,0.514154
1.486,0.515696
1.487,0.516611
1.488,0.517526
1.489,0.518567
1.49,0.519367
1.491,0.520419
1.492,0.521113
1.493,0.521831
1.494,0.522356
1.495,0.523271
1.496,0.524451
1.497,0.525511
1.498,0.526865
1.499,0.526429
1.5,0.528515
1.501,0.529273
1.502,0.530581
1.503,0.530131
1.504,0.532885
1.505,0.532919
1.506,0.533582
1.507,0.535125
1.508,0.536154
1.509,0.536538
1.51,0.537393
1.511,0.537461
1.512,0.539197
1.513,0.53941
1.514,0.540616
1.515,0.541694
1.516,0.542124
1.517,0.543861
1.518,0.544338
1.519,0.545782
1.52,0.545947
1.521,0.547467
1.522,0.548285
1.523,0.549414
1.524,0.550703
1.525,0.550822
1.526,0.551663
1.527,0.552615
1.528,0.553721
1.529,0.553788
1.53,0.554783
1.531,0.555711
1.532,0.557524
1.533,0.557783
1.534,0.558911
1.535,0.560009
1.536,0.561887
1.537,0.56286
1.538,0.563911
1.539,0.564061
1.54,0.564842
1.541,0.565822
1.542,0.566549
1.543,0.567443
1.544,0.568032
1.545,0.56847
1.546,0.56957
1.547,0.570062
1.548,0.570909
1.549,0.572209
1.55,0.572914
1.551,0.574299
1.552,0.575074
1.553,0.575816
1.554,0.577265
1.555,0.577856
1.556,0.578618
1.557,0.579481
1.558,0.580145
1.559,0.581086
1.56,0.582268
1.561,0.583182
1.562,0.583595
1.563,0.584144
1.564,0.58505
1.565,0.586662
1.566,0.587414
1.567,0.588191
1.568,0.588794
1.569,0.589351
1.57,0.590545
1.571,0.591318
1.572,0.593118
1.573,0.59357
1.574,0.594253
1.575,0.594159
1.576,0.595406
1.577,0.596651
1.578,0.596964
1.579,0.59767
1.58,0.598714
1.581,0.599862
1.582,0.601017
1.583,0.601939
1.584,0.603543
1.585,0.604767
1.586,0.605201
1.587,0.605802
1.588,0.605818
1.589,0.605637
1.59,0.606702
1.591,0.607472
1.592,0.607896
1.593,0.608352
1.594,0.608791
1.595,0.6099
1.596,0.610437
1.597,0.610833
1.598,0.611814
1.599,0.612318
1.6,0.613036
1.601,0.614021
1.602,0.615107
1.603,0.615909
1.604,0.616696
1.605,0.617337
1.606,0.6173
1.607,0.617765
1.608,0.618565
1.609,0.619133
1.61,0.619983
1.611,0.620485
1.612,0.62117
1.613,0.621909
1.614,0.622245
1.615,0.623225
1.616,0.624179
1.617,0.624584
1.618,0.625048
1.619,0.625688
1.62,0.626375
1.621,0.626629
1.622,0.627233
1.623,0.628142
1.624,0.628792
1.625,0.629099
1.626,0.629767
1.627,0.630507
1.628,0.631035
1.629,0.631477
1.63,0.631926
1.631,0.632592
1.632,0.633149
1.633,0.63346
1.634,0.633751
1.635,0.635003
1.636,0.635099
1.637,0.635606
1.638,0.635988
1.639,0.636712
1.64,0.637954
1.641,0.638543
1.642,0.638802
1.643,0.638714
1.644,0.639775
1.645,0.640608
1.646,0.640968
1.647,0.641276
1.648,0.641665
1.649,0.64241
1.65,0.642522
1.651,0.643867
1.652,0.644289
1.653,0.644564
1.654,0.644526
1.655,0.644856
1.656,0.645434
1.657,0.646252
1.658,0.646892
1.659,0.646657
1.66,0.647171
1.661,0.647574
1.662,0.647435
1.663,0.64824
1.664,0.648672
1.665,0.648711
1.666,0.648794
1.667,0.650298
1.668,0.651646
1.669,0.651939
1.67,0.652333
1.671,0.652523
1.672,0.652877
1.673,0.653396
1.674,0.654673
1.675,0.654985
1.676,0.655255
1.677,0.655565
1.678,0.655716
1.679,0.656974
1.68,0.657287
1.681,0.658362
1.682,0.658623
1.683,0.658761
1.684,0.658435
1.685,0.659089
1.686,0.660107
1.687,0.66023
1.688,0.661492
1.689,0.660819
1.69,0.661922
1.691,0.661914
1.692,0.662566
1.693,0.664189
1.694,0.664152
1.695,0.663307
1.696,0.664111
1.697,0.665984
1.698,0.665167
1.699,0.664901
1.7,0.666667
1.701,0.665769
1.702,0.666787
1.703,0.666968
1.704,0.668234
1.705,0.668094
1.706,0.668546
1.707,0.668887
1.708,0.66884
1.709,0.670239
1.71,0.67047
1.711,0.670731
1.712,0.670038
1.713,0.67167
1.714,0.671228
1.715,0.672885
1.716,0.673242
1.717,0.672818
1.718,0.673362
1.719,0.674008
1.72,0.67382
1.721,0.673801
1.722,0.674041
1.723,0.674727
1.724,0.675606
1.725,0.674756
1.726,0.675288
1.727,0.675605
1.728,0.676062
1.729,0.676418
1.73,0.676252
1.731,0.677241
1.732,0.677765
1.733,0.677428
1.734,0.676899
1.735,0.677688
1.736,0.677378
1.737,0.678759
1.738,0.679075
1.739,0.678655
1.74,0.679197
1.741,0.679567
1.742,0.68052
1.743,0.680569
1.744,0.680538
1.745,0.680801
1.746,0.680313
1.747,0.68083
1.748,0.680571
1.749,0.680963
1.75,0.682096
1.751,0.681993
1.752,0.681584
1.753,0.68192
1.754,0.681705
1.755,0.682336
1.756,0.682129
1.757,0.682747
1.758,0.682439
1.759,0.682974
1.76,0.682859
1.761,0.682628
1.762,0.682966
1.763,0.683793
1.764,0.684746
1.765,0.684169
1.766,0.684494
1.767,0.685092
1.768,0.685457
1.769,0.685941
1.77,0.686308
1.771,0.686332
1.772,0.687441
1.773,0.688441
1.774,0.686989
1.775,0.687115
1.776,0.687507
1.777,0.687411
1.778,0.687781
1.779,0.68806
1.78,0.689318
1.781,0.688675
1.782,0.688689
1.783,0.689609
1.784,0.689016
1.785,0.688849
1.786,0.689291
1.787,0.690023
1.788,0.689777
1.789,0.689552
1.79,0.689456
1.791,0.689801
1.792,0.689731
1.793,0.690072
1.794,0.690249
1.795,0.690024
1.796,0.690682
1.797,0.691179
1.798,0.690764
1.799,0.691427
1.8,0.692235
1.801,0.693123
1.802,0.693635
1.803,0.692183
1.804,0.692016
1.805,0.692514
1.806,0.692158
1.807,0.692431
1.808,0.693024
1.809,0.693699
1.81,0.694424
1.811,0.694585
1.812,0.694074
1.813,0.694637
1.814,0.695149
1.815,0.69468
1.816,0.694695
1.817,0.695113
1.818,0.695837
1.819,0.69652
1.82,0.695032
1.821,0.694727
1.822,0.695472
1.823,0.694787
1.824,0.69575
1.825,0.695283
1.826,0.69435
1.827,0.695023
1.828,0.696732
1.829,0.697627
1.83,0.69785
1.831,0.698592
1.832,0.698457
1.833,0.698609
1.834,0.698658
1.835,0.698871
1.836,0.700832
1.837,0.700692
1.838,0.700299
1.839,0.701271
1.84,0.700803
1.841,0.699705
1.842,0.700711
1.843,0.702832
1.844,0.703698
1.845,0.702282
1.846,0.703159
1.847,0.701655
1.848,0.701896
1.849,0.703119
1.85,0.704912
1.851,0.703515
1.852,0.70401
1.853,0.703764
1.854,0.704602
1.855,0.704113
1.856,0.704451
1.857,0.705877
1.858,0.706072
1.859,0.705086
1.86,0.704751
1.861,0.704457
1.862,0.705132
1.863,0.703783
1.864,0.703284
1.865,0.704658
1.866,0.703872
1.867,0.705157
1.868,0.707206
1.869,0.708722
1.87,0.707807
1.871,0.709427
1.872,0.707663
1.873,0.705841
1.874,0.705917
1.875,0.706892
1.876,0.70642
1.877,0.706181
1.878,0.705007
1.879,0.705655
1.88,0.703188
1.881,0.703283
1.882,0.702599
1.883,0.701771
1.884,0.702036
1.885,0.699546
1.886,0.701185
1.887,0.700283
1.888,0.699859
1.889,0.696475
1.89,0.69808
1.891,0.697007
1.892,0.694602
1.893,0.693148
1.894,0.692337
1.895,0.691653
1.896,0.690726
1.897,0.692489
1.898,0.689943
1.899,0.688659
1.9,0.687379
1.901,0.688919
1.902,0.687567
