LVM-EN_0,
0.578314265,0.488335836
0.584482171,0.48921318
0.59371195,0.488316209
0.602950562,0.488304432
0.612180341,0.487407461
0.618330582,0.486514415
0.624480824,0.485621369
0.630613401,0.482957932
0.636745979,0.480294496
0.642905053,0.480286645
0.649055295,0.479393599
0.653648103,0.476732125
0.658240912,0.474070651
0.661302784,0.472296335
0.667435362,0.469632899
0.673567939,0.466969462
0.679691684,0.463420831
0.685833093,0.461642589
0.690434734,0.459866311
0.69501871,0.456319642
0.699620351,0.454543363
0.701124791,0.45100062
0.707275032,0.450107574
0.710328073,0.447448063
0.714912049,0.443901394
0.719496025,0.440354725
0.724080002,0.436808056
0.730203746,0.433259424
0.731708186,0.429716681
0.736300994,0.427055207
0.740893803,0.424393734
0.743946843,0.421734223
0.748539652,0.419072749
0.753123628,0.41552608
0.7546369,0.412868532
0.75768994,0.410209021
0.762273916,0.406662352
0.765326956,0.404002841
0.768362332,0.399572939
0.774486076,0.396024308
0.777530284,0.392479602
0.780574492,0.388934895
0.785176133,0.387158617
0.788229173,0.384499106
0.789742445,0.381841558
0.795883854,0.380063316
0.798936894,0.377403805
0.801989934,0.374744294
0.805042975,0.372084783
0.809635783,0.36942331
0.817299297,0.365872715
0.823440706,0.364094474
0.828042347,0.362318195
0.835723525,0.360537991
0.843422368,0.360528178
0.851130043,0.361403559
0.855740516,0.360512476
0.860386319,0.363162173
0.86657189,0.365809908
0.871226525,0.3693448
0.878969529,0.373760962
0.885146268,0.375523502
0.888261134,0.379060357
0.891384833,0.383482407
0.894508532,0.387904458
0.900711768,0.392322583
0.903844299,0.397629828
0.906967997,0.402051878
0.910091696,0.406473929
0.914755163,0.410894017
0.916330261,0.414432834
0.919445127,0.41796969
0.922559994,0.421506545
0.925701357,0.427698986
0.930373657,0.433004268
0.935019459,0.435653966
0.935063621,0.440079942
0.939727088,0.444500029
0.942841955,0.448036884
0.944425885,0.452460898
0.950629121,0.456879022
0.953752819,0.461301073
0.958407454,0.464835965
0.963062089,0.468370858
0.966185788,0.472792908
0.969309487,0.477214959
0.97550389,0.480747888
0.978627589,0.485169939
0.980211519,0.489593952
0.984857321,0.492243649
0.98798102,0.496665699
0.991104719,0.50108775
0.997299122,0.50462068
1.000422821,0.50904273
1.008165825,0.513458892
1.012846957,0.51964937
1.019023696,0.521411909
1.020589962,0.524065532
1.026775533,0.526713267
1.032969936,0.530246197
1.037615739,0.532895894
1.04380131,0.535543628
1.046916176,0.539080484
1.051570811,0.542615376
1.056225446,0.546150269
1.06241985,0.549683198
1.068605421,0.552330933
1.07478216,0.554093472
1.079427962,0.55674317
1.084082597,0.560278062
1.090259336,0.562040601
1.094896306,0.563805103
1.102630478,0.56733607
1.108824882,0.570869
1.115019285,0.57440193
1.121196024,0.576164469
1.125850659,0.579699362
1.130478797,0.580578669
1.135124599,0.583228366
1.13976157,0.584992868
1.144407372,0.587642565
1.150592943,0.5902903
1.156769682,0.592052839
1.161406652,0.593817342
1.167583391,0.595579881
1.175317563,0.599110848
1.183034071,0.600871425
1.187688706,0.604406317
1.195414045,0.607052089
1.198528912,0.610588944
1.20470565,0.612351483
1.21243099,0.614997255
1.217050296,0.614991367
1.220103336,0.612331856
1.229350779,0.613205275
1.238607055,0.614963889
1.241580604,0.604337621
1.241624766,0.608763597
1.241651263,0.611419183
1.247766176,0.606985356
1.252420811,0.610520248
1.257066613,0.613169946
1.264791953,0.615815717
1.269446588,0.61935061
1.275640991,0.62288354
1.281826562,0.625531274
1.288012133,0.628179009
1.292649104,0.629943511
1.300374443,0.632589283
1.308090951,0.634349859
1.314285354,0.637882789
1.325081399,0.63963944
1.329718369,0.641403942
1.337452541,0.644934909
1.345151384,0.644925096
1.35131929,0.64580244
1.35904463,0.648448212
1.365239033,0.651981141
1.37140694,0.652858486
1.379105783,0.652848672
1.385273689,0.653726016
1.389910659,0.655490518
1.394538797,0.656369825
1.402255305,0.658130402
1.408423211,0.659007746
1.416139718,0.660768323
1.423847393,0.661643704
1.431555068,0.662519086
1.440802512,0.663392504
1.451589724,0.66426396
1.457766463,0.6660265
1.463934369,0.666903844
1.470102276,0.667781188
1.479340887,0.667769412
1.485508794,0.668646756
1.4916767,0.6695241
1.500932976,0.671282714
1.50709205,0.671274863
1.516339494,0.672148282
1.522498568,0.672140431
1.528657642,0.67213258
1.534807884,0.671239534
1.544046495,0.671227757
1.550205569,0.671219907
1.559444181,0.67120813
1.565603255,0.671200279
1.574833034,0.670303308
1.584071645,0.670291531
1.593310256,0.670279755
1.59946933,0.670271904
1.608707942,0.670260127
1.616406784,0.670250314
1.624105627,0.6702405
1.630255869,0.669347454
1.637945879,0.668452445
1.64254752,0.666676166
1.648697762,0.66578312
1.654848004,0.664890074
1.661007078,0.664882223
1.668697088,0.663987214
1.676387099,0.663092205
1.682537341,0.662199159
1.68867875,0.660420918
1.693298056,0.66041503
1.700988066,0.659520021
1.707129476,0.65774178
1.714837151,0.658617161
1.720996225,0.65860931
1.725597866,0.656833032
1.730190675,0.654171558
1.737871853,0.652391354
1.744022094,0.651498308
1.752720462,0.648782422
1.75804848,0.646931451
1.764458048,0.646308554
1.770873751,0.646300376
1.775138618,0.645065486
1.780478903,0.644443952
1.784737638,0.642594343
1.789002505,0.641359454
1.794336657,0.640123201
1.797507706,0.636430799
1.802841858,0.635194546
1.808163742,0.632728855
1.810277775,0.630267254
1.813461092,0.627804289
1.81445064,0.619811581
1.814481308,0.622885175
1.814505842,0.625344051
1.816570807,0.617964698
1.818678706,0.614888378
1.822931307,0.61242405
1.825051473,0.610577168
1.827165507,0.608115566
1.831418107,0.605651239
1.835670708,0.603186911
1.839935576,0.601952021
1.845269727,0.600715769
1.849546862,0.600710316
1.852754713,0.600706227
1.861302849,0.600080604
1.867724685,0.600687145
1.876278955,0.600676241
1.883751673,0.599437262
1.889091958,0.598815728
1.895501527,0.598192831
1.906194364,0.598179201
1.910471499,0.598173749
1.916887201,0.598165571
1.923284503,0.596313236
1.928630921,0.596306421
1.932901923,0.59568625
1.938248341,0.595679435
1.946802611,0.595668531
1.952136762,0.594432279
1.958552465,0.5944241
1.961748049,0.593190574
1.9649559,0.593186485
1.971365468,0.592563588
1.978844321,0.591939328
1.984178472,0.590703075
1.989524891,0.59069626
1.995928326,0.589458644
2.001262477,0.588222391
2.006608896,0.588215576
2.010873764,0.586980686
2.014069348,0.58574716
2.019403499,0.584510907
2.025813068,0.58388801
2.032204236,0.581420956
2.035405953,0.580802148
2.040733971,0.578951177
2.045004973,0.578331006
2.050339124,0.577094753
2.056730292,0.574627699
2.06312146,0.572160646
2.069537162,0.572152468
2.077016015,0.571528208
2.081280882,0.570293318
2.085539617,0.568443709
2.090867634,0.566592738
2.095126369,0.564743129
2.101529804,0.563505513
2.104725388,0.562271986
2.108977988,0.559807659
2.114324407,0.559800844
2.117519991,0.558567317
2.123917292,0.556714982
2.128176027,0.554865374
2.134573328,0.553013039
2.13990748,0.551776786
2.145247765,0.551155252
2.150581916,0.549919
2.152695949,0.547457398
2.160162535,0.5456037
2.16656597,0.544366084
2.170824704,0.542516476
2.176158855,0.541280223
2.182550023,0.538813169
2.187884175,0.537576917
2.195344626,0.5351085
2.200678778,0.533872247
2.206000662,0.531406557
2.209183979,0.528943592
2.213430446,0.525864546
2.21768918,0.524014937
2.220872497,0.521551973
2.22298653,0.519090371
2.228326815,0.518468837
2.23258555,0.516619229
2.238988985,0.515381613
2.24432927,0.514760079
2.250751105,0.51536662
2.257154541,0.514129004
2.267847378,0.514115374
2.272099978,0.511651046
2.278478879,0.507954555
2.284870047,0.505487501
2.286977947,0.502411181
2.29015513,0.499333498
2.296540165,0.496251725
2.303994483,0.49316859
2.308271618,0.493163138
2.313618036,0.493156323
2.318952188,0.49192007
2.32536789,0.491911892
2.330732709,0.493749233
2.337154545,0.494355774
2.343582514,0.495577034
2.348935066,0.496184937
2.353230602,0.498023642
2.357507737,0.49801819
2.363935706,0.49923945
2.372483842,0.498613827
2.379968828,0.498604286
2.387466081,0.499824182
2.397089635,0.499811915
2.402454454,0.501649257
2.408900824,0.504714673
2.415328793,0.505935933
2.419624329,0.507774637
2.423919864,0.509613342
2.431410984,0.510218519
2.436763536,0.510826423
2.441040671,0.510820971
2.447450239,0.510198074
2.453865942,0.510189896
2.45921236,0.510183081
2.467772764,0.510786896
2.473137583,0.512624237
2.478496268,0.51384686
2.486005789,0.516296194
2.492433758,0.517517454
2.49672316,0.51874144
2.505289697,0.519959973
2.5117238,0.521795952
2.518157903,0.523631931
2.522459572,0.526085354
2.528887541,0.527306614
2.533176943,0.528530599
2.539604912,0.529751859
2.543888181,0.530361126
2.552448584,0.530964941
2.55887042,0.531571481
2.564235239,0.533408823
2.570650941,0.533400645
2.577072777,0.534007186
2.58350688,0.535843164
2.590998,0.536448342
2.598489119,0.53705352
2.605974105,0.537043979
2.610263507,0.538267964
2.616685343,0.538874505
2.620968611,0.539483772

